date,pm2_5,pm10,co,no,no2,nh3,o3,so2,Station
2022-02-10,328.45,371.92375,3401.557083333333,54.298750000000005,45.62583333333333,23.24,71.07791666666667,52.46125,Delhi
2022-02-11,144.4675,170.82125,1396.8941666666667,2.4791666666666665,40.04208333333333,16.754166666666666,81.25541666666666,38.09708333333334,Delhi
2022-02-12,267.63916666666665,328.80916666666667,3193.498333333333,49.88541666666666,46.09708333333333,21.9525,49.17083333333333,44.55458333333333,Delhi
2022-02-13,523.1508333333334,642.5883333333333,6274.619583333333,97.52625,123.9525,77.2725,31.7325,118.85208333333333,Delhi
2022-02-14,754.9491666666667,906.56875,8799.43375,156.06833333333333,119.32625,58.828333333333326,29.04833333333333,102.73833333333332,Delhi
2022-02-15,775.2191666666666,908.3008333333332,7915.735000000001,117.79333333333334,122.71041666666667,34.92583333333334,42.92625,80.42666666666666,Delhi
2022-02-16,363.3845833333333,447.49458333333337,4263.004166666667,67.345,73.42916666666666,26.11916666666667,40.68125,60.458333333333336,Delhi
2022-02-17,383.26666666666665,474.26625,4767.577083333334,66.70041666666667,83.55458333333333,40.76708333333333,34.86208333333334,75.91625,Delhi
2022-02-18,323.61333333333334,401.0020833333333,4116.1375,50.671666666666674,92.27958333333332,30.968333333333334,35.55875,75.86708333333333,Delhi
2022-02-19,145.76708333333332,176.69833333333335,1663.3670833333333,11.809583333333334,37.443333333333335,16.724999999999998,68.87166666666667,34.71958333333333,Delhi
2022-02-20,118.38,131.11,934.6,0.0,20.39,7.09,67.95,25.51,Delhi
2022-02-21,391.7826086956522,472.3330434782609,5454.354347826086,94.63391304347826,100.46304347826089,48.41652173913043,34.13,83.68478260869566,Delhi
2022-02-22,144.33375,164.28916666666666,1184.94,3.397083333333333,33.21583333333333,16.139583333333334,114.30833333333334,44.86291666666667,Delhi
2022-02-23,402.43208333333337,479.33166666666665,4135.608333333334,49.23041666666666,76.35708333333334,30.89,58.41041666666667,70.29333333333334,Delhi
2022-02-24,414.2575,501.89625,4171.212500000001,50.912083333333335,91.36541666666666,25.3425,29.71375,88.95,Delhi
2022-02-25,256.03625,312.53416666666664,3054.977083333333,43.1225,67.96708333333333,22.00125,71.88791666666667,85.82125,Delhi
2022-02-26,39.3275,50.630833333333335,757.4170833333334,1.6762500000000002,30.916666666666668,10.934166666666668,79.52708333333334,43.928333333333335,Delhi
2022-02-27,74.22375,97.62583333333332,1182.9925,3.355,39.16291666666667,17.925416666666667,69.36541666666666,42.44916666666666,Delhi
